wallet,num_txns,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_deposit_amt,total_borrow_amt,total_repay_amt,repay_ratio,activity_days,score
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,1,0,0,0,0,1000000000.0,0.0,0.0,0.0,1,216
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,1,0,0,0,0,100000000000.0,0.0,0.0,0.0,1,262
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,8,1,3,2,2,0,282569019336.3728,879.0,501.890779,0.5709792707622298,81,495
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,8,6,0,0,2,0,2132617238514.029,0.0,0.0,0.0,21,330
0x000e840a3122ec28d0c29321db172375cb049762,10,5,2,2,1,0,383708442044795.1,216.90860700000002,217.048025,1.00064274996704,27,689
0x000e9bd1d42999446d60ff60f1fb3afb13604202,22,8,6,4,4,0,18112655988098.61,35.0,35.002269,1.0000648285714284,2,660
0x000eab293e332bd6e67018a9150e8807bfac3233,1,1,0,0,0,0,1200000000000.0,0.0,0.0,0.0,1,287
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,2,1,0,0,1,0,56000000000000.0,0.0,0.0,0.0,16,348
0x000f4432a40560bbff1b581a8b7aded8dab80026,25,7,6,3,9,0,9284729019012.137,17600.0,17614.321013,1.0008136939204546,19,678
0x000f7f22bfc28d940d4b68e13213ab17cf107790,73,26,19,13,15,0,4.082632353527151e+19,3.4310340193421263e+19,3.43160523316077e+19,1.0001664844520408,3,911
0x000f908720f9ce164d90f4fc89459fab4442907f,96,32,30,17,17,0,1529696501917929.5,793528159068530.4,793555114216778.5,1.0000339687356272,2,852
0x000fbfec300959d0f2f327728a889c1f5de8e2df,8,3,1,1,3,0,593233163408688.9,140000000000000.0,140049101164096.84,1.0003507226006918,9,679
0x0011730224657eb527cf736039854c3a3f140e63,4,1,1,1,1,0,4500000000000000.0,739000000000000.0,739000000000000.0,1.0,1,675
0x00120ea6fdbaf057eadc1bd149f957488444e92c,4,2,1,1,0,0,236759895699122.72,2.608976,2.608976,1.0,1,645
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,2,0,0,0,0,3000000000000.0,0.0,0.0,0.0,3,305
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,231,101,24,93,11,2,1.1486621116412444e+16,4923462755855000.0,933385959030950.9,0.1895791651761689,63,730
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,1,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,1,0,0,0,0,92600000000.0,0.0,0.0,0.0,1,261
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,2,0,0,0,0,2.455392,0.0,0.0,0.0,7,37
0x0014dfac19477a83d7354e6eaac28642c1959398,36,10,6,9,11,0,169933609660123.03,18156.827224,18162.323503,1.0003027114226617,31,734
0x001589fe1923c2118f34e4277f2ef650fcbf0161,30,19,2,0,9,0,4140691562270580.0,943379631812690.5,0.0,0.0,133,468
0x00159370cbe576b765a7fb2e78582e0cb563d445,19,10,7,0,2,0,1437821754944003.0,475533676000591.5,0.0,0.0,21,417
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,2,1,0,0,1,0,14.127252,0.0,0.0,0.0,1,38
0x0016469a65facda9e86fd0ae0e9661128843c224,2,1,1,0,0,0,22100000000.0,5000000000.0,0.0,0.0,1,249
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,1,0,0,0,0,96300000000.0,0.0,0.0,0.0,1,261
0x00183135585d70a523d61b2e43037a7138b36906,54,15,13,10,16,0,1530492210114749.2,1420027252822416.0,640740282471.2976,0.0004512168912235845,58,498
0x00184e8aa1e95f491f2d9601e12b540092160ded,4,1,1,1,1,0,102350000000000.0,61000000000000.0,61000000000000.0,1.0,1,637
0x0018583d7654803d2c59467e10dec5f70bbe1851,72,72,0,0,0,0,260000000.00045997,0.0,0.0,0.0,23,369
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,2,0,0,0,0,2.2,0.0,0.0,0.0,6,35
0x0018d044b946ede86b43bb3b964a45772a5abeb9,22,9,2,2,9,0,14628276542630.127,1.121816,1.12182,1.0000035656471293,54,687
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,5,0,1,2,2,0,0.0,79.209353,158.517071,2.001241835670593,15,638
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1,1,0,0,0,0,100000000000.0,0.0,0.0,0.0,1,262
0x001b024b98ee862aa01eea595c4c16a0213d2611,2,1,1,0,0,0,411897655835.2786,500.0,0.0,0.0,1,278
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,32,10,6,7,9,0,39147130994874.79,234.424601,234.55510500000003,1.0005566992518846,24,709
0x001bc97d92e1a30b02d4e75be25f06063555d556,45,12,10,9,14,0,1.1484504979413795e+17,54452.832761,54495.849398,1.0007899797828481,10,807
0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,2,0,0,0,0,6240750099.327031,0.0,0.0,0.0,21,260
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,2,0,0,0,0,2000000000000.0098,0.0,0.0,0.0,10,311
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,1,0,0,0,0,6461144026.105417,0.0,0.0,0.0,1,234
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,1,0,0,0,0,1.109087,0.0,0.0,0.0,1,16
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,1,0,0,0,0,0.018485,0.0,0.0,0.0,1,9
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,6,5,0,0,1,0,918900412657474.9,0.0,0.0,0.0,69,399
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,1,0,0,0,0,0.023783,0.0,0.0,0.0,1,9
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,1,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,2,0,0,0,0,1135240588968.5977,0.0,0.0,0.0,7,302
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,1,0,0,0,0,4440486156.185637,0.0,0.0,0.0,1,231
0x002379916ac42a432f3b53f16782d33267debb4c,1,1,0,0,0,0,1500000000000.0,0.0,0.0,0.0,1,289
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,2,0,0,0,0,2.2,0.0,0.0,0.0,6,35
0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,2,0,0,0,0,14.997724,0.0,0.0,0.0,1,38
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,1,0,0,0,0,4.999194,0.0,0.0,0.0,1,26
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,2,0,0,0,0,12625001510.457943,0.0,0.0,0.0,2,247
0x0024461e7a8ce7157866eaa4c24b702d328250ce,1,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,1,0,0,0,0,25000000000.0,0.0,0.0,0.0,1,248
0x00246f7813397868b1beec56e1677efa47816dae,44,30,9,2,3,0,3037908154495826.0,2356800000000000.0,2359307309858441.0,1.0010638619562293,22,776
0x0025a856d01a898bd52286d56c52323b13937b65,1,1,0,0,0,0,100000000000.0,0.0,0.0,0.0,1,262
0x00261d225db379b3fc74cd0228d6f90582d39035,2,1,1,0,0,0,34200000000.0,5000000000.0,0.0,0.0,1,253
0x00262ffcfda82b5582d1905ca05b849f196b0419,10,4,3,1,2,0,101.16919200000001,57.074003000000005,57.090279,1.0002851736192395,4,382
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,1,0,0,0,0,450246121.481307,0.0,0.0,0.0,1,208
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,1,0,0,0,0,1.851978,0.0,0.0,0.0,1,19
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,1,0,0,0,0,97000000000.0,0.0,0.0,0.0,1,261
0x002775390698ef16589bb22bba37ae7906ae2f36,30,17,7,5,1,0,81389771485949.8,68201720166501.7,3201720166501.6978,0.046944859435880774,21,425
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,1,0,0,0,0,1.880888,0.0,0.0,0.0,1,19
0x0027f7335d610f15b325baa5798414548720fcaa,13,6,2,2,3,0,200552767521.7745,1518.99297,1519.063995,1.00004675795175,2,597
0x00283b611db7844cb5677b311afd67c8e3078518,1,1,0,0,0,0,7.200645,0.0,0.0,0.0,1,29
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,1,0,0,0,0,47200000000.0,0.0,0.0,0.0,1,254
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,2,0,0,0,0,2600000000000.0,0.0,0.0,0.0,4,305
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,1,0,0,0,0,1.107978,0.0,0.0,0.0,1,16
